{'Input Sentence': 'put it back', 'Target Sentence': 'regresalo', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'abandon ship !', 'Target Sentence': 'abandonen la nave !', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'we re goners', 'Target Sentence': 'estamos desahuciados', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'we ve got plenty of time', 'Target Sentence': 'tenemos un monton de tiempo', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom has to do something about this problem', 'Target Sentence': 'tom tiene que hacer algo respecto a este problema', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'let s find a safe place to hide', 'Target Sentence': 'busquemos un lugar seguro para escondernos', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i felt sorry for the boy', 'Target Sentence': 'me senti mal por el nino', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom is mary s brother not her father', 'Target Sentence': 'tom es el hermano de mary no su padre', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'the drug culture has its own rules', 'Target Sentence': 'la cultura de la droga tiene sus propias reglas', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom hates his neighbor', 'Target Sentence': 'tomas detesta a su vecino', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i like him', 'Target Sentence': 'el me gusta', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'the police didn t think it was likely that tom had killed himself', 'Target Sentence': 'la policia no pensaba que fuera probable que tom se hubiera suicidado', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'please be quiet and let me finish', 'Target Sentence': 'por favor callate y dejame terminar', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'they had a lot of kids', 'Target Sentence': 'ellos tuvieron muchos hijos', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom was never really in love with mary', 'Target Sentence': 'tom nunca estuvo realmente enamorado de mary', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'the bus stop is across the street', 'Target Sentence': 'la parada de autobus esta al otro lado de la calle', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'you don t look well', 'Target Sentence': 'no teneis buen aspecto', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'he had the cheek to ask me to help him', 'Target Sentence': 'tuvo la jeta de pedirme que lo ayudara', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'all the english teachers at my son s school are native speakers', 'Target Sentence': 'todos los profesores de ingles en el colegio de mi hijo son hablantes nativos', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'stay away from the fire', 'Target Sentence': 'mantengase lejos del fuego', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'go lie down', 'Target Sentence': 've a tumbarte', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom is all talk and no action', 'Target Sentence': 'tom es todo palabras y nada de accion', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'generally japanese people are shy', 'Target Sentence': 'generalmente los japoneses son timidos', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i have to change into my work clothes', 'Target Sentence': 'me tengo que poner mi ropa de trabajo', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'within the past days have you been in close contact with someone who has tested positive for covid ?', 'Target Sentence': 'en los ultimos catorce dias has estado en contacto estrecho con alguien que haya sido positivo por sars cov ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'do you have the manual ?', 'Target Sentence': 'tienes el manual ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i wonder if he can lend me his guitar during the vacation', 'Target Sentence': 'me pregunto si me prestara la guitarra durante las vacaciones', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'look how that ball bounces', 'Target Sentence': 'mire cuanto bota esa pelota', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom and mary played hide and go seek', 'Target Sentence': 'tom y mary jugaron al escondite', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'something has gone terribly wrong', 'Target Sentence': 'algo ha salido terriblemente mal', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i want you to tell me everything that happened', 'Target Sentence': 'quiero que me digas todo lo que sucedio', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i thought tom would want to help me', 'Target Sentence': 'pense que tom querria ayudarme', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i always knew you were innocent', 'Target Sentence': 'siempre supe que eras inocente', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom was always such a happy boy', 'Target Sentence': 'tom siempre fue un nino tan feliz', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'since i had a slight fever i stayed in bed', 'Target Sentence': 'como tenia un poco de fiebre me quede en la cama', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i m starting to enjoy it', 'Target Sentence': 'comienzo a disfrutarlo', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'you have to believe us', 'Target Sentence': 'tienes que creernos', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom couldn t have done that by himself i think', 'Target Sentence': 'tom no podria haberlo hecho solo creo', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'would you ever eat a cockroach ?', 'Target Sentence': 'alguna vez comerias una cucaracha ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'are you drinking ?', 'Target Sentence': 'estais bebiendo ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i m happy and satisfied', 'Target Sentence': 'estoy feliz y satisfecho', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'what s there to eat ?', 'Target Sentence': 'que hay para comer ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'my mother made some new clothes', 'Target Sentence': 'mi madre me hizo un poco de ropa nueva', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i don t know why tom is so nervous', 'Target Sentence': 'no tengo idea por que tom esta tan nervioso', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'my mother was busy cooking dinner', 'Target Sentence': 'mi madre estaba ocupada preparando la cena', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'children are the future', 'Target Sentence': 'los ninos son el futuro', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'can i have some water ?', 'Target Sentence': 'me pueden dar algo de agua ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'don t talk while you re eating', 'Target Sentence': 'no hables mientras estas comiendo', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'you ll eat with us won t you ?', 'Target Sentence': 'comes con nosotras verdad ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'you re in charge now', 'Target Sentence': 'ahora estas tu a cargo', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i wish the subway wasn t so crowded every morning', 'Target Sentence': 'ojala el metro no estuviera tan lleno todas las mananas', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i sat down and opened my notebook', 'Target Sentence': 'me sente y abri mi cuaderno', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'maybe tom went out with mary', 'Target Sentence': 'a lo mejor tom salio con mary', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'don t ask questions just come with me', 'Target Sentence': 'no hagas preguntas solo ven conmigo', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'the witness did not seem nervous when he spoke at the trial', 'Target Sentence': 'el testigo no parecia estar nervioso cuando testifico en el juicio', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'the flowers in the garden are beautiful', 'Target Sentence': 'las flores en el jardin son maravillosas', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'tom moved', 'Target Sentence': 'tom se mudo', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'when i got home i noticed that i had lost my wallet', 'Target Sentence': 'cuando llegue a casa note que habia perdido mi billetera', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'are you related ?', 'Target Sentence': 'sois parientes ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'shut your mouth', 'Target Sentence': 'cierra la boca', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i don t want to go with you', 'Target Sentence': 'no quiero ir contigo', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'he comes here twice a week', 'Target Sentence': 'el viene aqui dos veces por semana', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'the morning after i arrived there i took a walk into the woods of oaks', 'Target Sentence': 'a la manana siguiente de haber llegado alli di un paseo por el bosque de robles', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'where are your kids ?', 'Target Sentence': 'donde estan tus hijos ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'who sells this ?', 'Target Sentence': 'quien vende esto ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'who is your favorite singer ?', 'Target Sentence': 'cual es tu cantante favorito ?', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i spilled some fruit juice on my new shirt', 'Target Sentence': 'derrame algo de jugo de fruta en mi camisa nueva', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'that s how french is', 'Target Sentence': 'asi va el frances', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i felt pity for the boy', 'Target Sentence': 'tuve compasion del joven', 'Predicted Sentence': '', 'Bleu Score': 0}
