/anaconda/envs/azureml_py38_PT_and_TF/lib/python3.8/site-packages/nltk/translate/bleu_score.py:552: UserWarning:
The hypothesis contains 0 counts of 2-gram overlaps.
Therefore the BLEU score evaluates to 0, independently of
how many N-gram overlaps of lower order it contains.
Consider using lower n-gram order or use SmoothingFunction()
  warnings.warn(_msg)
/anaconda/envs/azureml_py38_PT_and_TF/lib/python3.8/site-packages/nltk/translate/bleu_score.py:552: UserWarning:
The hypothesis contains 0 counts of 3-gram overlaps.
Therefore the BLEU score evaluates to 0, independently of
how many N-gram overlaps of lower order it contains.
Consider using lower n-gram order or use SmoothingFunction()
  warnings.warn(_msg)
/anaconda/envs/azureml_py38_PT_and_TF/lib/python3.8/site-packages/nltk/translate/bleu_score.py:552: UserWarning:
The hypothesis contains 0 counts of 4-gram overlaps.
Therefore the BLEU score evaluates to 0, independently of
how many N-gram overlaps of lower order it contains.
Consider using lower n-gram order or use SmoothingFunction()
  warnings.warn(_msg)
{'Input Sentence': 'put it back', 'Target Sentence': 'regresalo', 'Predicted Sentence': 'colecciona proyectos invitar', 'Bleu Score': 0}
{'Input Sentence': 'abandon ship !', 'Target Sentence': 'abandonen la nave !', 'Predicted Sentence': 'colecciona sanguineo penas tibia zapatillas invitar invitar', 'Bleu Score': 0}
{'Input Sentence': 'we re goners', 'Target Sentence': 'estamos desahuciados', 'Predicted Sentence': 'colecciona opinas helicoptero invitar', 'Bleu Score': 0}
{'Input Sentence': 'we ve got plenty of time', 'Target Sentence': 'tenemos un monton de tiempo', 'Predicted Sentence': 'colecciona secuestro lecciones impermeable intervalos anoro invitar invitar colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona', 'Bleu Score': 0}
{'Input Sentence': 'tom has to do something about this problem', 'Target Sentence': 'tom tiene que hacer algo respecto a este problema', 'Predicted Sentence': 'colecciona ciudadanos cocinando absuelto defuncion anzuelo molestar polucion covid perdido invitar colecciona colecciona colecciona colecciona colecciona colecciona', 'Bleu Score': 0}
{'Input Sentence': 'let s find a safe place to hide', 'Target Sentence': 'busquemos un lugar seguro para escondernos', 'Predicted Sentence': 'colecciona colecciona rehusaba lecciones sandwiches cirugia no invitar invitar colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona', 'Bleu Score': 0}
{'Input Sentence': 'i felt sorry for the boy', 'Target Sentence': 'me senti mal por el nino', 'Predicted Sentence': 'colecciona sandwiches invitar tirar complexion sufre hicieramos invitar invitar', 'Bleu Score': 0}
{'Input Sentence': 'tom is mary s brother not her father', 'Target Sentence': 'tom es el hermano de mary no su padre', 'Predicted Sentence': 'colecciona helicoptero ciudadanos television inmaduro intervalos ramita permite rueda adondequiera invitar colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona', 'Bleu Score': 0}
{'Input Sentence': 'the drug culture has its own rules', 'Target Sentence': 'la cultura de la droga tiene sus propias reglas', 'Predicted Sentence': 'colecciona cuidate piensa enfrentamientos arruinadas luces entorna colgando ceno aceptamos dominio colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona', 'Bleu Score': 0}
{'Input Sentence': 'tom hates his neighbor', 'Target Sentence': 'tomas detesta a su vecino', 'Predicted Sentence': 'colecciona venir timidos polucion colgando quieren invitar', 'Bleu Score': 0}
{'Input Sentence': 'i like him', 'Target Sentence': 'el me gusta', 'Predicted Sentence': 'colecciona reflexion langostinos templo invitar invitar', 'Bleu Score': 0}
{'Input Sentence': 'there is a cottage beyond the bridge', 'Target Sentence': 'hay una cabana cruzando el puente', 'Predicted Sentence': 'colecciona sintaxis pasea conocen alejen caramelo pirate invitar colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona', 'Bleu Score': 0}
{'Input Sentence': 'hot lemon with honey is a good remedy for colds', 'Target Sentence': 'limon caliente con miel es un buen remedio para los resfriados', 'Predicted Sentence': 'colecciona sufre adoro invitar invitar invitar lecciones pechuga zapatillas falsa aseguro vecindario cercanamente colecciona colecciona colecciona colecciona colecciona colecciona', 'Bleu Score': 0}
{'Input Sentence': 'he went on reading the book as if nothing had happened', 'Target Sentence': 'siguio leyendo el libro como si nada hubiera pasado', 'Predicted Sentence': 'colecciona indefensas saludo television silla gentilmente estrellas buenas partidos ruego invitar proximas colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona', 'Bleu Score': 0}
{'Input Sentence': 'i can t help thinking my father is still alive', 'Target Sentence': 'no puedo evitar pensar que mi padre sigue con vida', 'Predicted Sentence': 'colecciona chapuza arriesgare acabe responderlo realmente chino sacudirse acceso invitar desahogarse invitar invitar colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona', 'Bleu Score': 0}
{'Input Sentence': 'she was disappointed and angry with herself for being so', 'Target Sentence': 'ella estaba desilusionada y enojada consigo misma por ser asi', 'Predicted Sentence': 'colecciona invitar dieran pechuga empeorar dejaste movernos estas fantasmas fantasmas fantasmas tuviera estupidez colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona', 'Bleu Score': 0}
{'Input Sentence': 'i went there yesterday', 'Target Sentence': 'ayer fui alli', 'Predicted Sentence': 'colecciona invitar refugio refri invitar', 'Bleu Score': 0}
{'Input Sentence': 'i don t know if i could stand being away from you', 'Target Sentence': 'no se si soportaria estar lejos de ti', 'Predicted Sentence': 'colecciona chapuza algodon arriesgare digais adoran quedaos concluyo olvidaste invitar armazon colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona', 'Bleu Score': 0}
{'Input Sentence': 'the footnotes are at the bottom of the page', 'Target Sentence': 'las anotaciones estan al pie de la pagina', 'Predicted Sentence': 'colecciona hace golf primer olimpicas abusaba concluyo desahogarse terrible invitar estupidez colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona', 'Bleu Score': 0}
{'Input Sentence': 'beauty isn t important', 'Target Sentence': 'la belleza no es importante', 'Predicted Sentence': 'colecciona cuidate afectadas sepan armazon podrir invitar', 'Bleu Score': 0}
{'Input Sentence': 'do you have much snow in your country ?', 'Target Sentence': 'nieva mucho en tu pais ?', 'Predicted Sentence': 'colecciona sonrio descarrilo exploto barrer autoestopista espinacas invitar colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona', 'Bleu Score': 0}
{'Input Sentence': 'tell her that i am repairing the refrigerator', 'Target Sentence': 'dile que estoy arreglando el frigorifico', 'Predicted Sentence': 'colecciona adondequiera chapuza distintas tanque sufre castigado invitar colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona', 'Bleu Score': 0}
{'Input Sentence': 'i wish i had a house of my own', 'Target Sentence': 'desearia tener una casa propia', 'Predicted Sentence': 'colecciona descosido automovilisticos instinto verdadera grosero invitar invitar colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona', 'Bleu Score': 0}
{'Input Sentence': 'tom went home angry', 'Target Sentence': 'tom se fue a casa enojado', 'Predicted Sentence': 'colecciona helicoptero contradecirme encienda ramas quieren discutamos invitar invitar', 'Bleu Score': 0}
{'Input Sentence': 'what are you suggesting ?', 'Target Sentence': 'que propones ?', 'Predicted Sentence': 'colecciona chapuza golf arriesgare invitar invitar', 'Bleu Score': 0}
{'Input Sentence': 'i saw tom s car pull into the driveway', 'Target Sentence': 'vi el coche de tom aparcar en el camino de entrada', 'Predicted Sentence': 'colecciona latin agoto golpean andare consagro exploto sufre admiro recoges observando cercanamente invitar colecciona colecciona colecciona colecciona colecciona', 'Bleu Score': 0}
{'Input Sentence': 'that s not silver', 'Target Sentence': 'eso no es plata', 'Predicted Sentence': 'colecciona varian cirugia armazon armazon invitar', 'Bleu Score': 0}
{'Input Sentence': 'you shouldn t read in such poor light', 'Target Sentence': 'no deberias leer con tan poca luz', 'Predicted Sentence': 'colecciona chapuza arriesgare almejas invitar correcciones comprendo suplico invitar invitar colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona', 'Bleu Score': 0}
{'Input Sentence': 'i eat thai food every chance i get', 'Target Sentence': 'yo como comida thai cada vez que tengo la oportunidad', 'Predicted Sentence': 'colecciona inmune encontre langostinos renuncio travieso caramelo barrer caramelo ciclismo colgando daras invitar colecciona colecciona colecciona colecciona colecciona colecciona', 'Bleu Score': 0}
{'Input Sentence': 'have another cup', 'Target Sentence': 'sirvase otra copa', 'Predicted Sentence': 'colecciona olimpicas cometido borrarlo invitar invitar', 'Bleu Score': 0}
{'Input Sentence': 'tom is the taller of the two boys', 'Target Sentence': 'tom es el mas alto de los dos chicos', 'Predicted Sentence': 'colecciona helicoptero ciudadanos television sufre arriesgare arriesgare aseguro besarme regatear invitar colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona', 'Bleu Score': 0}
{'Input Sentence': 'have a good time on your date', 'Target Sentence': 'pasatelo bien en tu cita', 'Predicted Sentence': 'colecciona bosques armazon exploto chupado talento invitar armazon colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona', 'Bleu Score': 0}
{'Input Sentence': 'tom got drunk and drowned while taking a bath', 'Target Sentence': 'tom se emborracho y se ahogo mientras se banaba', 'Predicted Sentence': 'colecciona helicoptero todos asfalto persiguiendo paris obligaron sintaxis quieren compremosle arboles armazon colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona', 'Bleu Score': 0}
{'Input Sentence': 'it doesn t work very well', 'Target Sentence': 'no funciona muy bien', 'Predicted Sentence': 'colecciona chapuza colgando falto colgando invitar estupidez colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona', 'Bleu Score': 0}
{'Input Sentence': 'i don t want to see him again', 'Target Sentence': 'no quiero verlo de nuevo', 'Predicted Sentence': 'colecciona chapuza pasada evidencia contaste cirugia invitar armazon colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona', 'Bleu Score': 0}
{'Input Sentence': 'what are your duties ?', 'Target Sentence': 'cuales son sus funciones ?', 'Predicted Sentence': 'colecciona conocen poema desfile responderlo ofendio invitar invitar', 'Bleu Score': 0}
{'Input Sentence': 'do you have any sisters ?', 'Target Sentence': 'teneis hermanas ?', 'Predicted Sentence': 'colecciona mayo sufre intentes invitar', 'Bleu Score': 0}
{'Input Sentence': 'that s not tom s bicycle', 'Target Sentence': 'esa no es la bicicleta de tom', 'Predicted Sentence': 'colecciona creerle hagalo armazon bordillo apropiado concluyo andare cerrar estupidez colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona', 'Bleu Score': 0}
{'Input Sentence': 'do you enjoy studying ?', 'Target Sentence': 'disfrutas estudiando ?', 'Predicted Sentence': 'colecciona rescatarte adoro nativa invitar invitar colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona', 'Bleu Score': 0}
{'Input Sentence': 'my eyes are tired', 'Target Sentence': 'tengo los ojos cansados', 'Predicted Sentence': 'colecciona chapuza baileis desfile enganosas invitar', 'Bleu Score': 0}
{'Input Sentence': 'i don t understand this', 'Target Sentence': 'yo no entiendo esto', 'Predicted Sentence': 'colecciona inmune armazon cuanto dieran invitar', 'Bleu Score': 0}
{'Input Sentence': 'have you been there ?', 'Target Sentence': 'has estado alli ?', 'Predicted Sentence': 'colecciona cola escogi tirara intentes invitar invitar', 'Bleu Score': 0}
{'Input Sentence': 'someone is looking at me', 'Target Sentence': 'alguien me esta mirando', 'Predicted Sentence': 'colecciona milton sauce desconocido computadores invitar estupidez colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona', 'Bleu Score': 0}
{'Input Sentence': 'i have the best job in the world', 'Target Sentence': 'tengo el mejor trabajo del mundo', 'Predicted Sentence': 'colecciona chapuza sufre tomado atravesar aprecio escucharia invitar colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona', 'Bleu Score': 0}
{'Input Sentence': 'you can count on me to be there by', 'Target Sentence': 'estare alli mas o menos a las', 'Predicted Sentence': 'colecciona suena sucedio ciudadanos instinto lecciones polucion planchar invitar colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona', 'Bleu Score': 0}
{'Input Sentence': 'i ve forgotten your address', 'Target Sentence': 'he olvidado tu direccion', 'Predicted Sentence': 'colecciona fondo hambriento saludo dije invitar invitar', 'Bleu Score': 0}
{'Input Sentence': 'i ll never forget your kindness', 'Target Sentence': 'nunca olvidare tu amabilidad', 'Predicted Sentence': 'colecciona callada esperanza abandonados ramita invitar invitar', 'Bleu Score': 0}
{'Input Sentence': 'we re the best', 'Target Sentence': 'somos los mejores', 'Predicted Sentence': 'colecciona en aseguro mentiras cercanamente', 'Bleu Score': 0}
{'Input Sentence': 'this is a strange sentence', 'Target Sentence': 'esta es una frase rara', 'Predicted Sentence': 'colecciona agotadas afectada pasea no recibiste invitar invitar', 'Bleu Score': 0}
{'Input Sentence': 'i can t put up with the heat any longer', 'Target Sentence': 'ya no puedo soportar el calor ni un momento mas', 'Predicted Sentence': 'colecciona venir calculadora escasa reir pasada llueva manifestacion dejarla arriesgare fracaso invitar colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona', 'Bleu Score': 0}
{'Input Sentence': 'the theory is too abstract for me', 'Target Sentence': 'la teoria es demasiado abstracta para mi', 'Predicted Sentence': 'colecciona cuidate golpea descarga paris defensor defensor espana invitar', 'Bleu Score': 0}
{'Input Sentence': 'i don t know where to go', 'Target Sentence': 'no se adonde ir', 'Predicted Sentence': 'colecciona chapuza algodon cabezota letras invitar invitar colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona colecciona', 'Bleu Score': 0}
{'Input Sentence': 'tom sometimes plays tennis with mary', 'Target Sentence': 'a veces tom juega tenis con mary', 'Predicted Sentence': 'colecciona polucion pongase universitaria islam costo desahogarse ramita invitar invitar', 'Bleu Score': 0}
{'Input Sentence': 'we know where tom is', 'Target Sentence': 'sabemos donde esta tom', 'Predicted Sentence': 'colecciona sandwiches quieren galaxias besaste ordenes estupidez', 'Bleu Score': 0}
