{'Input Sentence': 'the engine is overheating', 'Target Sentence': 'el motor esta sobrecalentado', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'they built their empire in peru about five hundred years ago', 'Target Sentence': 'ellos construyeron su imperio en peru hace aproximadamente quinientos anos', 'Predicted Sentence': 'extranjeros extranjeros extranjeros', 'Bleu Score': 0}
{'Input Sentence': 'we should eat', 'Target Sentence': 'deberiamos comer', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'you should get to school', 'Target Sentence': 'deberiais ir al colegio', 'Predicted Sentence': 'organizando ausentarte', 'Bleu Score': 0}
{'Input Sentence': 'tom wants to change out of his wet clothes into something dry', 'Target Sentence': 'tom quiere cambiarse la ropa mojada por algo seco', 'Predicted Sentence': 'tapioca accesorios cigarro alarma silabas', 'Bleu Score': 0}
{'Input Sentence': 'tom came early', 'Target Sentence': 'tom vino temprano', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'you should keep this machine clean and lubed', 'Target Sentence': 'deberia mantener esta maquina limpia y lubricada', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'she is certainly over forty', 'Target Sentence': 'ella seguro que pasa de los cuarenta', 'Predicted Sentence': 'accesorios cocinamos', 'Bleu Score': 0}
{'Input Sentence': 'i won t tell anybody else', 'Target Sentence': 'no se lo dire a nadie mas', 'Predicted Sentence': 'procurarse marie espinacas', 'Bleu Score': 0}
{'Input Sentence': 'there are more than seven thousand languages in the world', 'Target Sentence': 'hay mas de siete mil idiomas en el mundo', 'Predicted Sentence': 'representados sinceridad pus extranjeros gritos toma silabas', 'Bleu Score': 0}
{'Input Sentence': 'tom woke mary up at as she had asked him to do', 'Target Sentence': 'tom desperto a mary a las como ella le habia pedido', 'Predicted Sentence': 'amables x xilofono alli', 'Bleu Score': 0}
{'Input Sentence': 'these books aren t just for children', 'Target Sentence': 'estos libros no son solo para ninos', 'Predicted Sentence': 'cocinamos cocinamos averiguarlo trasmitio acompananos perra', 'Bleu Score': 0}
{'Input Sentence': 'we need to replace our water heater', 'Target Sentence': 'tenemos que remplazar nuestro calentador de agua', 'Predicted Sentence': '', 'Bleu Score': 0}
{'Input Sentence': 'i rewrote my report', 'Target Sentence': 'he vuelto a escribir mi informe', 'Predicted Sentence': '', 'Bleu Score': 0}
